skill,job_count
CALL CENTER,38
DỊCH VỤ LÀM ĐẸP,38
GIA CÔNG CƠ KHÍ,38
GIÓ,38
ĐIỀU HOÀ (HVAC-R),38
MARKETING MANAGER,37
PHÁT TRIỂN KINH DOANH,37
THỢ KỸ THUẬT,37
TƯ VẤN,37
KỸ SƯ AN TOÀN LAO ĐỘNG (HSE),36
LỄ TÂN,36
NGHỀ Y TÁ,36
TRỰC TỔNG ĐÀI,36
ĐÓN TIẾP,36
BÁN HÀNG THỜI TRANG,35
KINH DOANH DU LỊCH,35
KỸ SƯ CƠ KHÍ,35
KỸ THUẬT ĐIỆN,35
SALES REPRESENTATIVE,35
SALES TOUR,35
SEO,35
BUSINESS ANALYST (PHÂN TÍCH NGHIỆP VỤ),34
PHÂN TÍCH CHUYÊN MÔN,34
QUẢN LÝ CHẤT LƯỢNG (QA),34
QUẢN LÝ DỰ ÁN THI CÔNG XÂY DỰNG,34
QUẢN LÝ KHO,34
THỦ KHO,34
TƯ VẤN CHUYÊN MÔN,34
Y TÁ,34
ĐƯA ĐÓN,34
GIÁM SÁT,33
NHIỆT,33
SOFTWARE ENGINEER,33
CHĂM SÓC KHÁCH HÀNG KHÁC,32
HÀNH CHÍNH TỔNG HỢP,32
KINH DOANH THỰC PHẨM,32
KINH DOANH Ô TÔ,32
KỸ SƯ ĐIỆN,32
HOST LIVESTREAM,31
KINH DOANH KÊNH GT,31
STREAMER,31
VẬT LIỆU XÂY DỰNG,31
HOÁ CHẤT,30
HOÁ MỸ PHẨM,30
KẾ TOÁN CÔNG NỢ,30
DA,29
DỊCH VỤ PHÁP CHẾ (IN-HOUSE),29
MAY MẶC,29
NHÂN SỰ TỔNG HỢP,29
KOC MANAGER,28
KOL,28
KỸ SƯ TỰ ĐỘNG HÓA,28
BÁN HÀNG SIÊU THỊ,27
CỬA HÀNG TIỆN ÍCH,27
KINH DOANH KÊNH MT,27
KỸ SƯ THIẾT KẾ CƠ KHÍ,27
MARKET RESEARCH AND ANALYSIS,27
PHỤC VỤ,27
TIỆN LỢI,27
BÁN HÀNG KỸ THUẬT ĐIỆN,26
CHUYÊN MÔN CÔNG NGHỆ THÔNG TIN KHÁC,26
KINH DOANH NỘI THẤT,26
VẬN HÀNH DỰ ÁN KỸ THUẬT,26
BÁN HÀNG KỸ THUẬT CƠ KHÍ,25
CHUYÊN MÔN KẾ TOÁN,25
MOBILE DEVELOPER,25
QUẢN LÝ VẬN HÀNH BẤT ĐỘNG SẢN,25
THIẾT KẾ THỜI TRANG,25
CHẠY ADS,24
KẾ HOẠCH SẢN XUẤT,24
LOGISTICS KHÁC,24
LÀM ĐẸP KHÁC,24
CHUYÊN MÔN DỊCH VỤ KHÁCH HÀNG,23
KỸ THUẬT VIÊN LẮP ĐẶT,23
QUAN HỆ CHÍNH PHỦ,23
QUAN HỆ CÔNG CHÚNG (PR),23
VẬT TƯ Y TẾ,23
BÁC SĨ,22
CHUYÊN MÔN NHÂN SỰ,22
CHUYÊN MÔN ĐIỆN,22
GAME DEVELOPMENT,22
GIAO NHẬN,22
KẾ TOÁN KHÁC,22
KỸ THUẬT VIÊN,22
BIÊN PHIÊN DỊCH TIẾNG HÀN,21
FULLSTACK DEVELOPER,21
KHOÁ HỌC KHÁC,21
ĐIỀU PHỐI VẬN TẢI,21
AUTOCAD,20
FRONTEND DEVELOPER,20
KỸ SƯ KẾT CẤU CÔNG TRÌNH,20
PAYROLL,20
SOFTWARE TESTER (AUTOMATION & MANUAL),20
CÔNG NGHỆ SINH HỌC KHÁC,19
DATA SCIENCE,19
ENGLISH,19
PHA CHẾ (BARISTA),19
SALES LOGISTICS,19
THU HỒI NỢ,19
TÀI XẾ LÁI XE VĂN PHÒNG,19
C&B (LƯƠNG,18
DU LỊCH KHÁC,18
DỊCH VỤ PHÁP LÝ (AGENCY,18
FIRM),18
PHÚC LỢI),18
SALES MARKETING,18
THU NGÂN,18
THƯỞNG,18
TÀI CHÍNH NGÂN HÀNG,18
VẬN HÀNH LIVESTREAM,18
BẢO TRÌ MÁY CÔNG NGHIỆP,17
GIÁM ĐỐC KINH DOANH,17
IT PROJECT MANAGEMENT,17
KINH DOANH DỊCH VỤ QUẢNG CÁO,17
NHÂN VIÊN HỒ SƠ XÂY DỰNG,17
QUY HOẠCH VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN,17
SALES DIRECTOR,17
SPA,17
TIKTOK CONTENT,17
TRADE MARKETING,17
TRÌNH DƯỢC VIÊN,17
TƯ VẤN THẨM MỸ,17
BẢO HIỂM KHÁC,16
DƯỢC PHẨM,16
KẾ TOÁN BÁN HÀNG,16
KẾ TOÁN DOANH THU,16
CHUYÊN MÔN MAY MẶC,15
DA KHÁC,15
GIÁM SÁT THI CÔNG NỘI THẤT,15
KẾ TOÁN THANH TOÁN,15
